id,quote,label
1,Finnish fibers and plastic products maker Suominen Corporation said its net loss narrowed to 1.6 mln euro $ 2.0 mln in the first nine months of 2006 from 2.16 mln euro $ 2.7 mln in the same period of 2005 .,positive
2,Net profit in the same period in 2006 was (  x20ac ) 172 million .,neutral
3,"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",negative
4,"Target company : Tieto Corporation , Business Identity Code : 0101138-5 Date of change in holding : 22 January 2010 Portion of the shares and votes : The current group holding of OP-Pohjola Group Central Cooperative ( OPK ) is 2982 587 shares , which represents 4.14 % of the shares and voting rights .",neutral
5,The total capacity of the factory will be approximately 100 engines a year .,neutral
6,"The payment of 2.779 million litas in interest on a long-term loan provided by Ragutis ' majority shareholder , Estonia 's A. Le Coq , also added to the losses .",negative
7,The EPS improved to EUR0 .38 from EUR0 .27 .,positive
8,The company specialises in temporary electrification and heating at construction sites .,neutral
9,"Operating profit totaled EUR 6.7 mn , down from EUR 7.2 mn in the corresponding period in 2005 .",negative
10,"Nokia said it still expects to sell 150 more million Symbian devices in years to come , giving an indication of how it expects the Phone 7 handoff to work .",neutral
11,The diluted loss per share narrowed to EUR 0.27 from EUR 0.86 .,positive
12,The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company .,positive
13,"Operating profit for the 12-month period decreased from EUR17 .9 m while net sales increased from EUR58 .3 m , as compared to 2007 .",negative
14,Scanfil holdings include 100 % of contract electronics manufacturer Scanfil EMS Group .,neutral
15,"ADPnews - Aug 3 , 2009 - Finnish media group Ilkka-Yhtyma Oyj HEL : ILK2S said today its net profit fell 45 % on the year to EUR 5.9 million USD 8.4 m in the first half of 2009 .",negative
16,com and possibly also through photo-msn .,neutral
17,The rebuilds are designed to improve the machines ' performance and product quality .,positive
18,"However , net sales in 2010 are seen to have grown to EUR598 .3 m from EUR582 .3 m in 2009 .",positive
19,The value of the firm 's forestry holdings increased by SEK 3.6 bn .,positive
20,"However , the offering will probably not be made at the current valuation , which partly derives from the deal in which the company was merged into a stock market shell .",negative
21,"According to HK Ruokatalo , almost all the meat used by the company comes from Finland .",neutral
22,Cash flow from operations rose to EUR 52.7 mn from EUR 15.6 mn in 2007 .,positive
23,"Under Finnish law , Parliament grants licences to build nuclear power plants .",neutral
24,"Following its strategy , Tikkurila has established a fully-owned sales company TOO Tikkurila in Almaty , Kazakhstan , for marketing decorative paints under the Finnish Tikkurila brand and the Russian Teks brand .",neutral
25,"The Whitehall Street Real Estate Funds invest in real estate and real estate related assets , principally through the acquisition of real estate companies , real property and mortgage loans .",neutral
26,These savings will have full impact as of the beginning of 2007 .,neutral
27,@chessNwine: $IWM 30-Minute Chart. Small caps threatening descending triangle breakdown under $110.20.  http://stks.co/r0KKm,negative
28,$LNKD Daily Phase 2 retest - Price experiencing early rejection. Can it retest? http://stks.co/t04xX,neutral
29,"FTSE falls to 3-month low on Greek debt concerns, easyJet skids",negative
