text,id,emotion
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",1,positive
"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",2,neutral
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",3,negative
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,4,positive
$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,5,negative
"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",6,neutral
$FB gone green on day,7,positive
Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer .,8,neutral
The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,9,neutral
The company closed last year with a turnover of about four million euros .,10,neutral
Shire CEO steps up drive to get Baxalta board talking,11,positive
"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .",12,neutral
"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .",13,neutral
`` We are pleased to welcome Tapeks Noma into Cramo group .,14,positive
"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",15,neutral
"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",16,positive
In 2005 the bank posted a net profit of Lt 8.2 mn .,17,neutral
InterContinental Hotels first-quarter global room revenue lags estimates,18,negative
"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .",19,positive
"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",20,positive
"L&G still paying price for dividend cut during crisis, chief says",21,negative
The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) .,22,neutral
